제주항공 탑승 하고 JEJU로 ~♡,제주항공 을 이용했는데요 평일에는 가격이 엄청 착하네요 어쩐지 친구가 월차를 내면 밥먹듯이 다녀오던데... 이정도 이동경비면 다닐만 하겠네용... 제주항공 셀프체크 참 쉽네요 ~ 예매하신 항공사를 선택한 후 예약번호를 입력 하시면 바로 확인이 가능하시구요 아니면 모바일앱에서도 체크인이...
제주 항공우주박물관 근처 맛집 자투리고기로 유명한 곳,때문에) 제주 항공우주박물관 근처 맛집 하나 알려드릴게요. 여행 계획을 미리 다 세워놨었는데 하나가 문을 닫는 바람에 시간이 남더라구요. 그래서 오설록에 들렀다가 신화테마파크 언저리에서 시간을 떼우다 20여분 떨어진 제주 항공우주박물관 근처 맛집으로 갔어요. 친구커플이 먹고싶은 메뉴...
베트남 2탄 - 제주항공 비행기 타고 베트남으로,"베트남 행 비행기는 제주항공 입니다. 제주항공이 출발, 도착 시간이 제일 좋더군요. 늦지않게 김해공항에 도착하니 사람도 많지 않아서 여유롭게 출국 수속을 마쳤습니다. 제주항공은 기내반입 수화물 무게를 측정할 수 있는 저울을 제공하네요. 무게는 10kg 까지 인가봅니다. 저 가방이 가볍다고..."
"제주항공 다낭여행 7C2903편 셀프체크인, 피해야할 좌석, 기내 이용팁","드디어 7박8일의 제주항공 다낭여행이 시작되었다. 우리는 4개월 전 항공 오픈 하자마자 특가뜨는 날 예약을 했는데 초초특가 예약은 실패하고, 수화물 없는 특가요금도 패스했더니 결국 30만원 초반대라는 평균적인 항공권 금액으로 구입했던 것 같다. 제주항공 인천-다낭여행 구간 이용편은..."
"106차 일본여행 1일차 - 제주항공 타고 나리타 공항으로, 리무진 버스타고 호텔 도착...",맡기고 제주항공 카운터 가서 짐 부치고 보딩패스 받음 SKT 로밍센터 가서 로밍 신청 baro 3GB 로 신청 기간이 5일간이면 한중일패스 쓰면 되는데... ㅜㅜ 제주항공 비행기에는 콘센트나 충전 단자가 없다보니 배터리가 아슬아슬;; 치킨 데리야키 정식 벌써 3시가 다 되어가네요 ㅜㅜ 식사하며...
제주항공 수화물 규정 및 기내 반입 알아보기,제주항공 수화물 규정 및 기내 반입 알아보기 안녕하세요 오늘은 제주도를 갈때 뿐만 아니라 외국에도 갈때 많이 이용하는 저가 항공사중 하나인 제주항공의 수화물 규정 및 기내반입에 대해서 알아보겠습니다. 저도 제주항공의 경우는 제주도 갈때도 이용을 했었지만 동남아 갈때도 많이...
★2019년도 제주항공 이슈정리★,"제주항공 채용이 곧 시작될 것 같습니다. 가장 먼저 준비해야 할 것이 자소서인데.... 자소서 항목도 5개, 1000자의 부담이 너무 크지요 ㅠ 그리고 서류합격률도 너무 낮으니깐 ㅠ 오늘 정리하는 제주항공들의 이슈들이 자소서 작성하실 때 도움이 되셨으면 좋겠습니다. 우선 대표이사님부터..."
"무안공항 제주항공 대만여행 이용기, 싸고 빠르고 편하고",(시간 보다 꽤 일찍 공항에 도착했더니만...) 비행기에 타서 내다보니 옆에 제주항공이 세워져 있다. 무안공항은 제주항공의 허브공항이다. 무안공항은 남도의 관문이라 할 수 있다. 그 무안공항을 견인하고 있는 항공사가 바로 LCC 인 제주항공이다. 제주항공은 운행 편수로는 무안공항의 85% 가량을...
"태국8박9일자유여행, 0일차/ 태국4월자유여행, 인천공항에서 제주항공타기","인천공항 제1터미널에서 제주항공타고 태국으로 출발!! 공항철도 난생처음 타봄 싱기방기 비싸지만... 편하네 걍 지하철, 전철같아 카드이용하니까 4150원이었던가? 일반 이용객들도 많아서 약간 복잡하단게 흠. 제주항공은 인천공항 제1터미널! 공항철도 타고 내려서 2층인가 3층으로 올라가서..."
괌 제주항공 사전좌석 구매 &amp; 항공권 SSSS,"괌 항공권 제주항공 비상구좌석 사전구매 &amp; SSSS 분명 2주전에 다녀온 여행인데 2년은 더 된 느낌적인 느낌! 갑자기 해외연수가 취소되면서... 344,500원 * 제주항공 비상구좌석 사전구매시 셀프수화물체크할 필요없이 바로 가면됨!! 어차피 기계에 여권읽혀도 직원에게 문의하세요! 라는 안내가..."
러시아 유람기 - 20190327 블라디보스톡 제주항공 트래블라운지,마린 스테이션 4F에는 제주항공 트래블라운지가 위치해 있어 공항픽업부터 호텔 및 블라디보스톡 관광안내까지 제주항공 이용객이 아니더라도 다양한 서비스를 이용할 수 있다길래 제주항공을 타고 블라디보스톡으로 날아온 나는 당당히 방문을! https://travel.jejuair.net/vvo/home travel.jejuair.net 마린...
제주 항공우주박물관 ! (지난여행중 아이랑좋았던),있었던 제주항공우주박물관이 바로 그곳입니다. 이곳 제주도에 있는곳이 듣기로는 아시아 최대규모의 항공우주박물관이라고 하는데 정말 실내... 제주항공우주박물관 1층으로 들어가면 항공역사관 천문우주관으로 구성된 메인 전시장을 둘러보게 됩니다. 항공역사관에는 하늘을 날고 싶어 하는...
일본 오사카여행) 간사이 국제공항에서 오사카 시내로 feat. 제주항공,김해공항 - 오사카/간사이 국제공항 왕복 제주항공 저가 항공사라서 물도 안준다^^; 대한항공은 서울-부산만 이동해도 주스 주는데. 담요도 당근... 오사카 시내(난바역)으로 들어가기 위해서는 (제주항공의 경우) 항공기에서 내린뒤 셔틀버스를 이용해 터미널1으로 이동해야 한다. 여기서 라피트...
젯스타 호주 골드코스트 직항편 및 제주항공 코드셰어,"제주항공(대표 이석주)는 '19.5.3일 젯스타 에어웨이즈와 한국과 호주에서 #편명공유 ( #CodeShare, #코드셰어 ) 협약을 체결하고 인천~호주... 협정에 따라 제주항공은 정부 인가 후 젯스타 에어웨이즈가 운용하는 335석 규모의 보잉 787-8 드림라이너 항공기를 이용해 인천..."
제주항공좌석 수하물 아이와비행기 탈때 팁,제주항공죄석 그리고 제주항공 수하물 알고 예약해요 이번 제주도여행을 더없이 행복했어요~ 이렇게 맑은 하늘을 바라볼수가 있었구요 무엇보다 우리 네가족 아프지 않고 건강하게 여행을 할수가 있어서 만족스러운 여행이였어요 그럼 제주항공좌석 그리고 제주항공수하물 팁 리뷰 시작할게요...
"제주항공우주박물관, 볼거리도 많고 쾌적한 공간! 아이도 좋아했음:)","워낙 넓다보니 여유있게 시간을 보낼 수 있다는 점도 제주 항공우주박물관의 장점인 듯 마침 방문했을 때 요 스탬프투어를 하고 있어서 다 찍고... 기대했던 것보다 만족스러웠던 제주항공우주박물관. 주변에 바램목장, 오설록, 신화월드 등도 있고 아이 동반이라면 한 번쯤 가볼만한 곳인 것 같다."
제주항공타고 사이판 여행 출발!,오늘 하루 일정 간단하게 적어볼게요~ 사이판까지는 제주항공 타고 출발! 인천공항에서 사이판까지는 대부분 항공편이 야간 비행편인데 제주항공은 오전 비행기도 있어서 좋구요! 제주항공 기내식 라밥세트&amp;콜라! 유료지만 가성비가 좋아 인천공항 비싼 밥 사먹는거보다 요거 먹는거...
"제주항공 탑승후기, 인천공항, 삿뽀로 치토세 공항 이야기!","너무좋아, 100년 묵은 웬수에게도 하트를 던질수 있을것 같은 마음가짐중~ 제주항공은 지난번 위해 여행때도 말씀 드렸듯 100% 셀프 체크인 입니다... 제주항공을 타는지라소 기내식이 없어요! 공항은 모든 가격이 참 안착하죠! 우리타고갈 제주항공 와 있어요! 이번 여행중 알고 있었으면서도 이 말이..."
인천-제주항공으로 저렴하게 떠나는 일본 마쓰야마 여행! 도고온천 료칸 BEST 5,"인천-제주항공으로 저렴하게 떠나는 일본 마쓰야마 여행! 도고온천 료칸 BEST 5 안녕하세요. 호텔온센닷컴입니다. 지브리 스튜디오의 '센과... 인천-마쓰야마가 제주항공으로 주 3회 운항되고 있어 직항으로 들어가기 편리하며, 마쓰야마 역을 중심으로 주변 에히메 현을 비롯한 시코쿠 관광으로..."
[대만여행]무안공항 제주항공 이용기~♬,- 무안공항 제주항공 이용기 -유이부부의 이유있는 이야기~♬ 무안공항 에서 출발하는 비행기입니다~^^ 비행기 타로 갑니다 요야르~^^ 야르야르~ 요야르^^ 제주항공은 첫 이용하는 것 같아서 포스팅을 해보려고 합니다^^ 제주항공은 좌석이 많이 좁다는 이야기가 있어서;;; 너무 걱정을 하고 탑승을...
[홍콩여행] 인천공항에서 홍콩까지 제주항공 이용기 !!,제주항공 홍콩노선은 기내식이 안나와서 파리바게트에 들려서 햄치즈샌드위치를 포장했다 그리고 탑승구 도착! 런던 같이 갈 언니가 기다려주셔서 얼굴보고 인사하고 같이 비행기에 올랐다 언니 반가워요 &gt;&lt; 이 날 제주항공엔 대부분 콘서트가는 아미들이었음 ㅋㅋㅋ 탑승구에서 아래로 더...
제주항공 인천-후쿠오카 탑승후기 7C1404편 보잉737-800,"대한민국 저가항공의 대표, 제주항공을 타고 가는 후쿠오카 항공후기.. 저가항공이라 매우 저가에 구매했구요. 수화물 없는 특가요금으로 끊었습니다. 왕복 10만원 조금 더 냄.. 다행히 탑승동으로 안가고, 제1 여객터미널에서 탑승했습니다. 탑승구는 28번이었고, 참 이 제주항공이 짜증나는게..."
"제주항공 타고, 후쿠오카 1408 / 1401갔다왔어요~","제주항공 후쿠오카 1408 / 1401 #제주항공 #인천후쿠오카 #후쿠오카 #후쿠오카여행 #제주항공후쿠오카 #제주항공비행기 네, 저 후쿠오카 갔다왔어요~ 아직, 후쿠오카 할 포스팅이 차고 넘치지만 ㅋㅋㅋㅋ 하나씩 하고 있다는거!! 흫 그중에, 전 제주항공 후쿠오카편 비행기 1408 타고 떠났는데요!! 이..."
제주항공 &amp; 호주 제트스타 호주 골드코스트 직항운항 소식 업데이트! (젯스타 인천직항),오늘 호주 제트스타(Jet Star) 제주항공 협약으로 한국 인천 ~ 호주 골드코스트 직항 정기편 운항을 시작한다는 소식입니다. 호주 저가항공사중 대표항공인 젯스타 Jest Star (제트스타)가 한국의 저가항공사인 제주항공과 협약으로 코드쉐어 방식으로 인천에서 골드코스트 까지 올해...
